text,class
"The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings , the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.",1
"- Among other Finnish shares traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur .",1
Operating profit of the Asian plants grew markedly .,2
"BG AD , Bulgaria 's leading Internet company .",2
Patrizia adds the acquisition to a portfolio already worth EUR3bn .,1
"Mobile phone sales rose 25 % to 5.87 billion euros , while enterprise solution sales dropped 39 % to 186 million euros .",2
South-east Asian marketers spend US$244m to acquire users as demand for fintech apps rise in 2020,1
The contracts comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink .,1
Mr Lee said he hoped that Neste 's move will ` pave the way for more collaboration projects between our two countries ' .,2
"Helsinki-based Componenta bought Turkish listed company Doktas in October 2006 for 89 million euros , making it the largest Finnish investment in Turkey to date .",1
It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,1
"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 .",0
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,0
Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS,0
"In addition , Kone signed a two-year maintenance contract for the escalators .",2
The idea of saving electricity in data transfer is still a new one .,1
Myanmar junta chief to attend Asean summit,1
Personal Spending Stagnated in May as Prices Increased. ,0
The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .,1
"Los Angeles-based Pacific Office Properties Trust acquires , owns , and operates office properties in the western U.S. , focusing initially on the markets of Honolulu , San Diego , Los Angeles , and Phoenix .",1
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,1
The Board of Directors has proposed the Extraordinary General Meeting to authorise the Board to decide on the issuance of a maximum of 30mn new shares in one or more share issues .,1
It includes options for additional 30 communal building sites as well as construction supervision works for all construction sites .,1
"`` Overall , we 're pleased with the startup curve ... and we 're pleased with the quality of the paper , '' Stora spokeswoman Patricia Dietz said Tuesday .",2
"Operating profit totalled EUR 5.8 mn , up from a loss of EUR 1.7 mn in the fourth quarter of 2009 .",2
"rosendal at outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , +358 400 817198 e-mail eila .",1
Total operating revenue grew by 27.6 % year-on-year to EUR61m .,2
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",2
"The negotiations concern personnel of Cencorp Corporation and Singulase Oy as whole in Finland and in Sweden , the company said .",1
"Companies evaluated in the report include Aladdin , CA , F-Secure , Kaspersky , Marshal , McAfee , Microsoft , Panda , Proofpoint , Sophos , Symantec , Trend Micro , Tumbleweed , and Websense .",1
"The record date for dividend distribution is March 14 , 2008 .",1
"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .",1
"As the largest elevator market in the world , Chinese output of elevators continued to rise to 262,000 units in 2009 , up about 5 % yr-on-yr .",2
Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing .,0
"According to product manager Lassi Hietanen , building a power plant that burns mixed waste in Helsinki may not be a good idea because this reduces the production of combined power plants using natural gas .",1
The shopping center will have a prime location right next to the Myllypuro metro station .,2
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,1
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",1
Finnish beverage company Olvi is one of the last listed companies in Finland that has not yet published its financial result for the second quarter of 2009 .,1
The objective of the St. Petersburg office is first to boost the Company 's maintenance business .,1
"Following the payment made in April , the company has a total of EUR 23.0 million in loans from financial institutions .",1
Financial details were not disclosed .,1
"Combining the two producers will create a strong EU-based fertilizer industry capable of meeting global competition , they added .",2
"Of the sales price , a sales gain of some 3.1 mln euro ( $ 4.5 mln ) will be recognized in Incap 's earnings for 2007 .",2
"After the transaction , Alma Media raised its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",2
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .",0
"`` After a long , unprofitable period the Food Division posted a profitable result , which speaks of a healthier cost structure and a new approach in business operations , '' Rihko said .",2
Sales have risen in other export markets .,2
"The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights .",1
"The number of permanent reductions of clerical workers is 22 employees , of which 19 in Finland .",0
"In addition to the presentations held by President & CEO Kai Telanne and CFO Tuomas Itkonen , participants will have an opportunity to discuss with other members of the company 's management .",1
Three students from Universiti Sains Malaysia have won a study trip to Helsinki .,1
The company 's net sales in 2010 totalled MEUR 311.4 with an operating margin of 13.9 per cent .,1
"These sections will be put into place to form the load-bearing steel structure of the bridge , '' says Sami Eronen , Senior Vice President , Infrastructure and Northern Europe , Ruukki Construction .",1
The secondary antenna can also be used for reception of the high power signal of the radar to calibrate the transmission channels of the radar . '',1
"ADP News - Feb 25 , 2009 - Finnish printed circuit board PCB maker Aspocomp Group Oyj HEL : ACG1V said today it swung to a net profit of EUR 300,000 USD 385,000 for 2008 versus a net loss of EUR 65.3 million",2
"German Commerzbank AG 's Hamburg Branch and US JP Morgan ( NYSE : JPM ) participated as arrangers , and Dutch ING ( AMS : INGA ) as co-arranger .",1
Finnish publishing and printing group Ilkka-Yhtym+Æ will introduced a staff smoking ban as of the beginning of 2007 at the company 's three newspapers .,1
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,1
"Compagnie de Financement Foncier - Is to issue a benchmark , 10 year covered deal in Euros .",1
`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . '',2
"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",1
After 1 April 2007 Cencorp will not have any own employees in the territory .,1
The personnel reductions will primarily affect those working for the parent company in the diagnostics business or in production and logistics in the liquid handling business .,0
"In the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",1
"`` We cut our frequency to New York last year , which explains the fall , '' he said .",0
"Under the agreement GeoSentric will provide GyPSii-powered hotel information and reservation services to visitors to China , including such popular cities as Beijing and Shanghai .",2
"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 .",0
"Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 .",1
"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",0
"With the government exempting certain stainless steel products from anti-dumping duties , Finland-based Outokumpu today said it will look to enter into supply pacts with the Indian Railways soon .",1
The company expects its net sales for the whole 2009 to remain below the 2008 level .,0
Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,0
The total investment of the project will be approximately EUR 36m .,1
"ALEXANDRIA , Va. , May 16 -- Kenneth Bower of Vista , Calif. , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",1
"At the moment , there are approximately 20 Vianor sales offices in Russia .",1
The changes in readership were not significant .,1
The parties have agreed not to disclose the transaction value .,1
"In 2010 , Sanoma Magazines expects net sales to be at the 2009 level .",1
"The Tekla Structures product box , if needed , is now made from recycled material .",1
Work on the assignment has already started and is due for completion in spring 2011 .,1
"Founded in 1923 , Finnair is one of the world 's oldest airlines and flies to 60 destinations with a fleet of 63 aircraft , employing 9,500 people .",1
The personnel s expertise and high level of technology play a major role in Exel Composites operations .,1
"The production capacity can be tripled without any major additional investments , the company said .",2
3 January 2011 - Finnish flag carrier Finnair Oyj ( HEL : FIA1S ) said today it sealed a nine-year sale and leaseback agreement for its newest Airbus A330 aircraft for syndication into the Japanese operating lease market .,2
`` The issues identified by Stonesoft affect a range of content inspection technology .,1
"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",1
LG Display posts strong Q1 profit on panel price boost,2
The technology park will be built near St. Petersburg-based Pulkovo airport .,1
"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",2
Antniemi refuted a report by the Finnish daily Turun Sanomat as if the company was reorganizing its operations in the Baltic countries .,1
The company said it estimates to make a slight profit thanks to cost-cutting measures .,2
The completion of the recycling plant is an important link in the chain of creating a waste management system in the Dubna region that meets the EU standards .,2
"In contrast , the company 's net loss for the third quarter of 2009 contracted to EUR 76 million from EUR 256 million for the corresponding period a year ago .",2
The reductions will be concluded by autumn 2010 .,1
"As a result , the number of personnel in Finland will be reduced by 158 .",1
"Depending on the market situation , such projects are sold after 1 to 3 years after completion .",1
"The change in holdings in accordance with Chapter 2 , Section 9 of the Finnish Securities Markets Act is described below .",1
"Operating profit of operations in Finland in the period under review totaled EUR 11.3 mn , remaining at the 2005 level .",1
All of Raisio 's divisions recorded an operating profit .,2
"Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia .",2
No changes in media activity were seen in October compared with September .,1
"If the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company .",1
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",2
The increase in capital stock has been registered in the Finnish Trade Register on 20 November 2006 .,2
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",2
Investments are not disclosed .,1
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .",0
"UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - The British miniature antennas maker Sarantel has signed an agreement to outsource its assembly test and supply chain processes to the plant of Elcoteq in the Estonian capital Tallinn .",1
The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa .,1
"S Group 's loyal customer magazine Yhteishyv+Æ came second with 1,629,000 readers and Sanoma Corporation 's daily newspaper Helsingin Sanomat was third with 1,097,000 readers .",1
It moved into the No. 2 spot in 2000 when it merged steel operations with Avesta Sheffield to form AvestaPolarit .,1
Stora Enso will receive a 19.9 pct equity interest in the combined company .,1
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",2
The duration of the contract is 37 months .,1
"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator .",2
"As production of other products will continue normally , temporary lay-offs concern simultaneously at most 80 employees .",0
The total value of the deal is USD 29mn .,1
The interchange of Editors-in-Chief is a part of publisher 's goal to enhance job circulation in all personnel groups .,1
Most of the dividend will go to the Grimaldi family .,1
"In 2009 , it reported net sales of approximately EUR 6mn .",1
"HK Ruokatalo now accounts for about 50 % of poultry sales in Finland , and profitability is at a good level .",2
EBIT excluding non-recurring items was estimated to increase from 2009 .,2
"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",1
Name of Company in which holdings have been acquired : Citycon Oyj 2 .,1
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",1
"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .",0
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,2
Brazilâs GDP surges back to pre-pandemic levels,2
"According to Finnair Technical Services , the measure is above all due to the employment situation .",1
Porto property weathers the storm,2
"Brazil COVID deaths rise by 2,966. ",0
"ISMS does not disclose its financial results , the daily said .",1
"They re in a race with Google to get lots of users onto their service as social networking creates new business models , said Martin Garner , a London-based analyst with CCS Insight .",1
"The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki , Espoo and Vantaa .",1
Stockmann was established in 1862 in Finland and it became the first foreign company to enter Russia 's retail trade market in 1989 .,1
"Pre-tax loss totaled EUR 0.3 mn , compared to a loss of EUR 2.2 mn in the first quarter of 2005 .",2
"- Inge Larsen (CFO), 29,045 shares , representing 0.50 % of the share capital .",1
Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives .,1
The company is well positioned in Brazil and Uruguay .,2
"`` Neste Oil has responded to the challenge posed by the European Union 's target of biofuels accounting for 5.8 % of traffic fuel usage in the EU by 2010 by developing its NExBTL technology for producing diesel fuel from renewables , '' the federation said .",2
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,0
"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .",1
"After piloting , the instrument will be further developed according to the experiences gained .",1
"`` Our customers now have the chance to make bookings for all the services they want at one location , '' said Mikko Tuomainen , in-charge of Finnair 's Internet ( sales ) .",2
"The Ministry of Water in Tanzania has awarded Poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania .",2
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",0
The original contract was signed last summer .,1
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,2
"The platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen , and means are provided to exert and maintain a pressure in the volume defined by the platen , the band and the seal . ''",1
"In this way , the industry 's starting point has been the consumers ' needs .",1
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",2
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,0
"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",2
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",2
`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .,2
"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",2
"The biggest sellers in the chain 's supermarkets in Finland are organic Pirkka tomatoes , carrots , eggs , and meat products .",1
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,2
Earnings per share EPS in the first quarter amounted to a loss of EUR0 .20 .,1
"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .",2
The aim is an annual improvement in Ruukki Construction 's operating profit of more than EUR 3 million USD 4.1 m starting in 2009 .,2
The effect of the savings will be noticeable as of the beginning of 2010 .,2
"When the product is manufactured in Finland , it is also packed in the country .",1
"Chic and cheerful , Finnish design house Marimekko has been sending its geometric textiles out into the world for the past 60 years .",1
M-real plans to discontinue production of standard coated fine paper in the Hallein and Gohrsm++hle mills .,1
Finnish home decoration and arts and crafts retailer Tiimari Plc ( OMX Helsinki : TII1V ) reported on Monday ( 18 August ) an operating loss of EUR3 .3 m on net sales of EUR33 .9 m for the period January-June 2008 .,1
Pharmaceuticals - Czech Republic This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Czech Republic .,1
"The decision of the French Court relates to the claims raised by twenty-one former Aspocomp S.A.S employees , the company said .",1
The social plan negotiations were part of the three year turn-around program which is expected to ensure Salomon 's future competitiveness .,2
Latvenergo has ordered a significant expansion to the Tekla Xpower network information system .,2
The electricity requirement of networks will grow with the new mobile generation .,1
The total number of filling stations has been on the decrease recently .,0
Marathon estimates the value of its remaining stake in Protalix at $ 27 million .,1
Taiwanâs Covid-19 outbreak spreads to chip companies. ,0
"Upon completion of these transactions , Metso 's stake will amount to more than 60 % .",1
"The RME from Telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry .",1
"According to Seikku , the retail sector in Finland is controlled by 3-4 large actors , while food manufacturers are still relatively small .",1
"Jun. 25 , 2008 ( Boy Genius Report delivered by Newstex ) -- The Nokia ( NYSE : NOK ) N78 , huh ?",1
Talentum 's net sales in September were smaller than expected .,0
Number of offers received for this contract is two .,1
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,0
"CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region .",1
The solution will now be expanded to include all ground staff tasks .,1
Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index .,1
Vacon will supply drives to Ruselprom in the power range from 200 kW up to 2 MW .,1
The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .,1
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .,0
Covid-19 catastrophe could make global shortages even worse. ,0
Rimi supermarket is the key customer in Magistral center .,1
hybrid bond 18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,1
"Swedish telco TeliaSonera is teaming up with Friends , a Swedish organization against bullying , to fight bullying of children and teenagers via electronic channels .",1
"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .",1
"The engine has an electrical output of 18,321 kW , making it the largest gas powered generating set in the world .",1
The total project duration is three years and it is valued at some EUR11 .5 m.,1
The newly created position has been established to strengthen Amer Sports ' management in strategic planning and execution .,2
Wellness services will be important in the future .,1
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,2
HELSINKI AFX - Outokumpu Technology said it has signed a 3.5 mln eur agreement with Mongolia 's Erdenet Mining Corporation for the engineering of the first HydroCopper plant to be built at the Erdenet mine site .,2
We make available the following brand-new market analyses Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Philippines These analyses give a clear overview of the actual situation and future outlook of the cement industry in some Asian countries .,1
The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website .,1
"ADPnews - Jul 17 , 2009 - Finland-based steel maker Rautaruukki Oyj Ruukki HEL : RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2",0
"The Swedish Maritime Administration has closed the Furusund Channel , which Viking Line normally charters en route to Stockholm .",1
"Bank of Japan will set guidelines when time comes to sell ETFs, says Kuroda",1
The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 .,1
"The company can not give up palm oil altogether , however .",1
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",2
"Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007 .",0
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,1
"Rory Fitzgerald , general manager , operations , Bristol Port , said : `` With the use of low maintenance technology we can save up to 30 per cent on servicing , plus the load sensing hydraulics can save us an extra 15 to 30 per cent on fuel consumption . ''",2
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .",0
"Outokumpu of Finland , stainless steel manufacturer , plans to enter into a supply agreement with the Indian Railways .",2
The company does not at present hold any of its own shares .,1
"The official opening of the office , located in Prague , will be celebrated on May 20 .",1
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",2
services supplier Efore Plc to streamline operations in Finland and the US Finnish electronic systems and services supplier Efore Plc ( OMX Helsinki : EFO1V ) said on Tuesday ( 3 February ) that it has initiated statutory negotiations regarding a streamlining of its operations in Finland .,2
"The workforce will be reduced also in the Amsterdam office , in the Netherlands .",0
"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid-May , it said .",0
"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added .",1
There's no reason to worry about inflation in 2021,2
Officials did not disclose the contract value .,1
"In addition , YIT has reserved EPI Russia the right to expand the logistics center by about 100,000 m2 .",1
"Compared with the FTSE 100 index , which fell 35.2 points ( or 0.6 % ) on the day , this was a relative price change of 0.6 % .",1
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",2
"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world .",2
Cymed 's net sales are expected to amount to EUR 3.5 mn in 2006 .,1
"Poyry Energy GmbH is Austria 's leading engineering and consulting company in the energy , infrastructure and environment sector , owned by Poyry Plc. and the Austrian Verbund AG .",1
Poyry has a good track record of major transportation projects in Latin America .,2
The value of the contract is about EUR 27mn .,1
Ulefos Group is the leading supplier of manhole covers in the Nordic countries .,1
"Exports make up more than 80 per cent of our sales , so the name Glaston also reflects a truly internationally operating company , '' explains Kyro 's President & CEO Mika Seitovirta .",1
"During the past decade it has gradually divested noncore assets and bought several sports equipment makers , including California-based Fitness Products International and Sparks , Nevada-based ATEC , a leading maker of baseball and softball pitching machines .",2
The power generated annually by Loviisa covers about 10 % of Finland 's electricity consumption .,1
"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",2
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,2
NORDIC BUSINESS REPORT-26 June 2006-Metso Corporation wins EUR50m equipment order in Australia -_ 1998-2006 M2 COMMUNICATIONS LTD The Finnish engineering and technology group Metso Corporation said on Monday ( 26 June ) that it has received a EUR50m equipment order in Australia .,2
"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",0
"At end-August , Sampo was Nordea 's biggest shareholder with a 20.6 % stake , followed by the state with 19.9 % .",1
Nigerians blame Shell for âcommunity problemsâ?in Niger Delta. ,0
"The order consists of capacity expansion , maintenance services and new charging functionality , the company said .",1
"ALEXANDRIA , Va. , Oct. 3 -- Markka A. Oksanen and Harald Kaaja , both of Helsinki , Finland , Juha Salokannel of Kangasala , Finland , and Arto Palin of Viiala , Finland , have developed a system for providing communications security .",1
The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .,1
"Tekla Structures BIM Building Information Modeling software is being developed according to a long-term plan of improved user experience , process , and functionality .",2
Earnings per share EPS amounted to EUR0 .01 .,1
Yakima created the position for him after emerging from economic downturns of its own .,1
Satama earned Data Management Solutions competency with Business Intelligence specialization recentlyvia the acquisition of Fimentor Oy .,2
"Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music .",2
"Most of the growth in beer consumption took place in the Far East , Latin America and Africa .",1
The plant will collect raw material from the Baltic Sea region .,1
"This will be done domestically and in neighboring markets , both organically and through acquisitions .",1
EuroChem CFO Andrey Ilyin said : `` This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects '' .,2
"In Finland , the Bank of +_land reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .",0
"In 2006 , the company intends to invest significantly in expanding its distribution and maintenance network .",2
"Editor 's note : Grimaldi generated a 1.7 bln euro ( $ 2.182 bln ) turnover in 2005 , ANSA reported on May 29 , 2006 .",1
Finnish component supplier Componenta Corporation OMX Helsinki : CTH1V said on Monday 16 June that it is changing its pricing cycle due to the increase of raw material prices .,1
The executive group will participate in the adjustments with a fixed-term 5 % salary cut .,2
